Year,Make,Model,Type,Seats,Doors
2017,Jeep,CHEROKEE,3.2 L  LIMITED SUV,5,5
2017,Jeep,CHEROKEE,3.2 L  SPORT X SUV,5,5
2017,Jeep,COMPASS,2.4 L  LIMITED SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  EXCLUSIVE SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  LAREDO ALPINE SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  LAREDO SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  LIMITED HIGHLINE SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  LIMITED SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  NIGHT EAGLE SUV,5,5
2017,Jeep,GRAND CHEROKEE,3.6 L  TRAILHAWK SUV,5,5
